,Date,PPSpotAvgPrice,OilAvgPrice,PPImport,PPExport,ExchangeRate,PPFuture,OilFuture
0,2008-11-16,,,,,6.8289,,
1,2008-11-23,,,,,6.8317,,
2,2008-11-30,,,,,6.8349,,
3,2008-12-07,,,,,6.8482,,
4,2008-12-14,,,,,6.8451,,
5,2008-12-21,,,,,6.8357,,
6,2008-12-28,,,,,6.8389,,
7,2009-01-04,,,,,6.8346,,
8,2009-01-11,,,,,6.8363,,
9,2009-01-18,,,,,6.8383,,
10,2009-01-25,,,,,6.837999999999999,,
11,2009-02-08,,,,,6.8371,,
12,2009-02-15,,,,,6.8334,,
13,2009-02-22,,,,,6.8357,,
14,2009-03-01,,,,,6.8379,,
15,2009-03-08,,,,,6.837000000000001,,
16,2009-03-15,,,,,6.8334,,
17,2009-03-22,,,,,6.8293,,
18,2009-03-29,,,,,6.8317,,
19,2009-04-05,,,,,6.832000000000001,,
20,2009-04-12,,,,,6.8358,,
21,2009-04-19,,,,,6.8311,,
22,2009-04-26,,,,,6.8273,,
23,2009-05-03,,,,,6.825,,
24,2009-05-10,,,,,6.8221,,
25,2009-05-17,,,,,6.8247,,
26,2009-05-24,,,,,6.8239,,
27,2009-05-31,,,,,6.8324,,
28,2009-06-07,,,,,6.8334,,
29,2009-06-14,,,,,6.8325,,
30,2009-06-21,,,,,6.8338,,
31,2009-06-28,,,,,6.8328,,
32,2009-07-05,,,,,6.8333,,
33,2009-07-12,,,,,6.8313,,
34,2009-07-19,,,,,6.831,,
35,2009-07-26,,,,,6.8318,,
36,2009-08-02,,,,,6.8323,,
37,2009-08-09,,,,,6.8316,,
38,2009-08-16,,,,,6.8328,,
39,2009-08-23,,,,,6.8313,,
40,2009-08-30,,,,,6.8309,,
41,2009-09-06,,,,,6.831,,
42,2009-09-13,,,,,6.8282,,
43,2009-09-20,,,,,6.8271,,
44,2009-09-27,,,,,6.8287,,
45,2009-10-04,,,,,6.829,,
46,2009-10-11,,,,,6.827000000000001,,
47,2009-10-18,,,,,6.827000000000001,,
48,2009-10-25,,,,,6.8275,,
49,2009-11-01,,,,,6.8281,,
50,2009-11-08,,,,,6.8276,,
51,2009-11-15,,,,,6.8273,,
52,2009-11-22,,,,,6.8278,,
53,2009-11-29,,,,,6.8269,,
54,2009-12-06,,,,,6.8272,,
55,2009-12-13,,,,,6.8277,,
56,2009-12-20,,,,,6.8284,,
57,2009-12-27,,,,,6.8287,,
58,2010-01-03,,,,,6.8282,,
59,2010-01-10,,,,,6.8279,,
60,2010-01-17,,,,,6.8271,,
61,2010-01-24,,,,,6.8271,,
62,2010-01-31,,,,,6.827000000000001,,
63,2010-02-07,,,,,6.8272,,
64,2010-02-14,,,,,6.8269,,
65,2010-02-28,,,,,6.8269,,
66,2010-03-07,,,,,6.8266,,
67,2010-03-14,,,,,6.8262,,
68,2010-03-21,,,,,6.8263,,
69,2010-03-28,,,,,6.8268,,
